pr,repo,number,path,additions,deletions
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/set_avatars_square_md_1.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/set_avatars_square_md_2.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/set_avatars_square_md_3.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/set_avatars_square_md_4.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/set_avatars_square_md_5.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/set_avatars_square_md_6.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/set_catalog_landscape_lg_1.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/set_catalog_landscape_lg_2.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/set_catalog_landscape_lg_3.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/set_catalog_landscape_lg_4.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/set_catalog_portrait_md_1.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/set_catalog_square_md_1.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/set_catalog_square_md_2.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/set_catalog_square_md_3.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/set_catalog_square_md_4.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/set_catalog_square_md_5.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/set_catalog_square_md_6.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/set_doers_portrait_lg_1.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/ultrawide_lg_1.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/ultrawide_lg_2.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/ultrawide_lg_3.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/ultrawide_lg_4.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/ultrawide_lg_5.webp,0,0
odoo/design-themes#1253,odoo/design-themes,1253,theme_linea/static/src/img/configurator/ultrawide_lg_6.webp,0,0
